Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/pb.VacancyService/CreateVacancy,71,0,98,147.18942887354297,78.18215600127587,415.5265449953731,134.98591549295776,0.23142032513601737,0.0,98,110,140,200,390,410,410,420,420,420,420
grpc,/pb.VacancyService/DeleteVacancy,71,0,97,109.88987397152889,73.93840100121452,547.3661040014122,2.0,0.23142032513601737,0.0,97,100,110,120,140,160,200,550,550,550,550
grpc,/pb.VacancyService/GetVacancies,25,25,1,1.4031471605994739,0.5564599996432662,2.4922480006353,0.0,0.08148602997747091,0.08148602997747091,1,1,1,2,2,2,2,2,2,2,2
grpc,/pb.VacancyService/GetVacancy,71,0,94,103.47006056383154,72.33734499459388,266.25957200303674,138.88732394366198,0.23142032513601737,0.0,94,99,100,110,140,190,220,270,270,270,270
grpc,/pb.VacancyService/UpdateVacancy,71,0,97,108.1294902812683,69.73943999764742,264.0000280007371,138.88732394366198,0.23142032513601737,0.0,97,110,110,110,150,180,260,260,260,260,260
,Aggregated,309,25,94,107.80348637869636,0.5564599996432662,547.3661040014122,95.30097087378641,1.0071673305215403,0.08148602997747091,94,100,110,110,160,240,400,410,550,550,550
